标题,作者,出版社,出版时间,评分,纸质版定价
天才与算法 : 人脑与AI的数学思维,[英] 马库斯·杜·索托伊,机械工业出版社,2020-4-7,7.9,79.00
脑机穿越 : 脑机接口改变人类未来,[巴西] 米格尔·尼科莱利斯,浙江人民出版社,2021-8,7.6,79.90元
"The Coming Wave : Technology, Power, and the Twenty-First Century's Greatest Dilem",Mustafa Suleyman,Mustafa Suleyman,Crown,暂无评分,2023-9-5
人工知能はなぜ椅子に座れないのか : 情報化社会における「知」と「生命」,松田雄馬,松田雄馬,新潮社,暂无评分,2018-8
KK三部曲 : 失控＋科技想要什么＋必然,（美）凯文·凯利（Kevin Kelly）,中信出版社,2015-12-12,8.2,80.00元
大规模语言模型 : 从理论到实战,张奇,电子工业出版社,2024-1,7.8,109
大模型应用开发极简入门 : 基于GPT-4和ChatGPT,[比] 奥利维耶·卡埃朗（Olivier Caelen）,人民邮电出版社,2024-2,7.0,59.8元
算法霸权 : 数学杀伤性武器的威胁,[美] 凯西·奥尼尔,中信出版社,2018-9-1,7.2,69.00元
Advances in Financial Machine Learning,Marcos Lopez de Prado,John Wiley & Sons,2018-2-22,8.9,USD 50.00
Build a Large Language Model (From Scratch),Sebastian Raschka,Manning,2024-10-29,暂无评分,USD 47.99
皇帝新脑,[英] 罗杰•彭罗斯,湖南科学技术出版社,2018-1,6.3,89.00
Introduction to Linear Algebra : Fifth Edition,Gilbert Strang,Wellesley-Cambridge Press,2016-8-31,9.7,GBP 64.99
大模型应用解决方案 : 基于GPT-3、ChatGPT、GPT-4等Transformer架构的自然语言处理,[法]丹尼斯·罗斯曼(Denis Rothman)著 叶伟民 译,清华大学出版社,2024-1,6.1,99.8
"Information Theory, Inference and Learning Algorithms",David J. C. MacKay,Cambridge University Press,2003-10-6,9.3,USD 80.00
人狼知能で学ぶAIプログラミング ~ 欺瞞・推理・会話で不完全情報ゲームを戦う人工知能の作り方~,狩野 芳伸,鳥海 不二夫,マイナビ出版,暂无评分,2017-5-31
语音与语言处理 : ：自然语言处理、计算语言学和语音识别导论,Daniel Jurafsky,人民邮电出版社,2010-12-5,9.5,138.00元
百面机器学习 : 算法工程师带你去面试,诸葛越,人民邮电出版社,2018-8-1,8.6,89.00元
统计学习理论的本质,[美] Vladimir N. Vapnik,清华大学出版社,2000,9.1,27.00元
理解和改变世界 : 从信息到知识与智能,(法) 约瑟夫·希发基思,中信出版社,2023-4,7.9,79.00元
AI极简经济学,[加] 阿杰伊·阿格拉沃尔,湖南科学技术出版社,2018-12-1,7.3,58.00
人生算法,陈楸帆,中信出版社,2019-1,7.8,58.00元
智能时代 : 5G、IoT构建超级智能新机遇,吴军,中信出版社,2020-3,8.0,129.00元
"Hands-On Machine Learning with Scikit-Learn and TensorFlow : Concepts, Tools, and Techniques for Building Intelligent Systems",Aurélien Géron,O'Reilly Media,2017-1-25,9.3,USD 49.99
脑机革命,[巴西] 米格尔·尼科莱利斯,浙江教育出版社,2023-5,8.7,119.90元
図解 人工知能大全 AIの基本と重要事項がまとめて全部わかる,古明地 正俊,古明地 正俊,長谷 佳明,暂无评分,2018-9-21
"Gödel, Escher, Bach : An Eternal Golden Braid",Douglas R. Hofstadter,Basic Books,1999-2-5,9.4,USD 24.00
深度学习详解 : 基于李宏毅老师“机器学习”课程,王琦,人民邮电出版社,2024-8,8.8,99.8元
认知心理学 : 第8版,[美] 罗伯特·索尔所,上海人民出版社,2019-1,8.4,98.00元
第二次机器革命 : 数字化技术将如何改变我们的经济与社会,[美]埃里克·布莱恩约弗森,中信出版社,2014-9,7.8,59.80元
预训练语言模型,邵浩,电子工业出版社,2021-5,9.1,109
The Book of Why : The New Science of Cause and Effect,Judea Pearl,Allen Lane,2018-5-15,9.2,GBP 25.00
计算机与人脑,冯·诺伊曼,北京大学出版社,2010-6,8.4,34.00元
心灵的未来,加来道雄 (Michio Kaku),重庆出版社,2015-1-1,8.2,48.80
AIGC：智能创作时代,杜雨,中译出版社,2023-3,6.2,69.00
Artificial Intelligence : A Modern Approach,Stuart Russell,Pearson,2009-12-11,9.3,USD 195.00
机器之心,胡晓姣,中信出版社,2016-4,7.6,59
必然,Kevin Kelly,电子工业出版社,2016-1,8.3,58
PyTorch生成对抗网络编程,[英]塔里克·拉希德（Tariq Rashid）,人民邮电出版社,2020-12,9.3,69.00元
心我论 : 对自我和灵魂的奇思冥想,[美] 道格拉斯.R.霍夫施塔特(Douglas R.Hofstadter),上海译文出版社,1999,8.5,15.40元
Deep Learning with Python,Francois Chollet,Manning Publications,2017-10-31,9.5,USD 49.99
Paradigms of Artificial Intelligence Programming : Case Studies in Common Lisp,Peter Norvig,Morgan Kaufmann,1991-10-01,9.7,USD 77.95
人工知能はどのようにして 「名人」を超えたのか?―――最強の将棋AIポナンザの開発者が教える機械学習・深層学習・強化学習の本質,山本 一成,山本 一成,ダイヤモンド社,暂无评分,2017-5-11
自然语言处理入门,何晗,人民邮电出版社,2019-10,8.2,99.00元
灵魂机器的时代 : 当计算机超过人类智能时/开放人文,（美）雷·库兹韦尔,上海译文出版社,2006-04-01,8.2,37.00元
ChatGPT原理与应用开发,郝少春,人民邮电出版社,2024-2,8.7,99.80元
AI科學家李飛飛的視界之旅,李飛飛,天下文化,2023-12-20,暂无评分,600台币
实用多元统计分析,理查德·A. 约翰逊,清华大学出版社,2008-11,8.7,68.00元
On Intelligence : How a New Understanding of the Brain will Lead to the Creation o,Jeff Hawkins,Times Books,2004-10-03,8.9,USD 25.00
Mathematics for Machine Learning,Marc Peter Deisenroth,Cambridge University Press,2020-1-31,8.5,$46.99
统计学习基础(第2版)(英文),Trevor Hastie,世界图书出版公司,2015-1-1,9.2,102.80
PyTorch深度学习实战,[美] 伊莱•史蒂文斯,人民邮电出版社,2022-2,7.8,119.00元
Easy RL：强化学习教程,王琦,人民邮电出版社,2022-2,8.4,99.90元
图解机器学习,杉山将,人民邮电出版社,2015-4,6.2,49
集成学习 : 基础与算法,周志华,电子工业出版社,2020-8-1,8.6,89.00元
情感计算,[美]罗莎琳德·皮卡德,北京理工大学出版社,2005-4,7.7,22.00元
深度学习原理与实践,陈仲铭,人民邮电出版社,2018-8,9.5,89
Reinforcement Learning (2/e) : An Introduction,Richard S. Sutton,A Bradford Book,2018-11-13,9.6,USD 76.00
CUDA 编程：基础与实践,樊哲勇,清华大学出版社,2020-10,9.1,69.00
图灵的大教堂 : 数字宇宙开启智能时代,[美] 乔治·戴森,浙江人民出版社,2015-5,7.2,89.90
分布式机器学习 : 算法、理论与实践,刘铁岩,机械工业出版社,2018-10-20,8.5,89.00
机器视觉,[美]伯特霍尔德·霍恩,中国青年出版社,2014-8,9.0,98.00元
A Thousand Brains : A New Theory of Intelligence,Jeff Hawkins,Basic Books,2021-3,8.2,USD 30.00
打飞机英雄集,兰州军区政治部人民军队报社,《人民军队》报社,1970-02,暂无评分,0.50
AI芯片：前沿技术与创新未来,张臣雄,人民邮电出版社,2021-3,8.7,159.8
深度学习高手笔记 : 卷1：基础算法,刘岩,人民邮电出版社,2022-10-1,8.7,109.80
机器学习中的概率统计,张雨萌,机械工业出版社,2020-12,9.2,79.00元
数据挖掘导论 : Introduction to Data Mining,"Pang-Ning Tan, Michael Steinbach",人民邮电出版社,2006-01-01,8.5,49.00元
"Genius Makers : The Mavericks Who Brought AI to Google, Facebook, and the World",Cade Metz,Dutton,2021-3-16,8.7,US$19.74
超越想象的GPT医疗,[美] 彼得·李（Peter Lee）,浙江科学技术出版社,2023-5-16,6.3,99.90
云球（第一部）,白丁,四川科学技术出版社,2019-1,6.7,89.00元
The Brain That Changes Itself : Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,Penguin Books,2007-12-18,8.9,USD 18.00
深度强化学习 : 原理与实践,陈仲铭,陈仲铭,何 明,7.9,2019-4
金羊毛 : 世界科幻大师丛书,（加）罗伯特•J•索耶,四川科学技术出版社,2016-1,7.9,17.00元
剑桥五重奏 : 机器能思考吗,约翰·卡斯蒂,上海世纪出版集团,2006-7,8.2,16.00元
如何创造思维 : 人类思想所揭示出的奥秘,[美]雷·库兹韦尔,浙江人民出版社,2013-11-28,7.8,62
AI会取代我们吗？,[英] 雪莉·范 著,阿芦,中信出版集团,7.3,68元
現代思想2022年9月号 特集＝メタバース : 人工知能・仮想通貨・VTuber…進化する仮想空間の未来,青土社,青土社,2022-8-29,暂无评分,"1,650円"
穿越小径分岔的花园 : 赫伯特·西蒙和他的科学迷宫,[美] 亨特·克劳瑟—海克,贵州人民出版社,2020-10,8.1,62.00元
1024·人与机器共同进化,东西文库,电子工业出版社,2013-12-20,8.1,55元
超人类革命 : 生物科技将如何改变我们的未来？,[法] 吕克·费希,湖南科学技术出版社,2017-10,7.5,45.00
隐藏的宇宙 : 量子世界与时空涌现,[美]肖恩•卡罗尔,湖南科学技术出版社,2021-7,8.5,79
智能时代 : 当所有的机器都能学习思考，我们的生活会如何改变,[美] Jeff Hawkins,中国华侨出版社,2014-7-1,8.5,42.00元
统计学习要素（第2版） : 机器学习中的数据挖掘、推断和预测,Trevor Hastie,清华大学出版社,2020-12,6.6,159.00
扩散模型从原理到实战 : 从原理到实战,李忻玮,人民邮电出版社,2023-8,6.1,79.80元
Learning From Data : A Short Course,Yaser S. Abu-Mostafa,AMLBook,2012-3-27,9.4,USD 48.00
暗知识：机器认知如何颠覆商业和社会 : 机器认知如何颠覆商业和社会,王维嘉,中信出版社,2019-3,7.6,58元
彼得2.0,[英] 彼得·斯科特-摩根（Peter Scott-Morgan））,湖南文艺出版社,2021-11-1,7.3,58
Introduction to Information Retrieval,Christopher D. Manning,Cambridge University Press,2008-7-7,9.1,USD 74.99
"Causality : Models, Reasoning and Inference",Judea Pearl,Cambridge University Press,2009-9-14,9.3,USD 50.00
ここまできた!人工知能の最前線 「ChatGPT」から法律問題まで最新AI事情を余さず解説 I/OBOOKS,,未知,未知,暂无评分,
被看见的力量 : 快手是什么,快手研究院,中信出版社,2019-12,6.4,68元
机器人时代 : 技术、工作与经济的未来,[美]马丁·福特,中信出版社,2015-6,7.3,49.00元
MIT认知科学百科全书,编者：ROBERTA.WILSONFRANK.KELL,上海外语教育出版社,2000-1,9.1,160.00元
你看起来好像……我爱你 : AI的工作原理以及它为这个世界带来的稀奇古怪,(美) 贾内尔·沙内,中信出版社,2021-4,7.7,49.00
新机器的灵魂,Tracy Kidder,机械工业出版社,2011-10,7.6,45.00元
Machine Learning for Algorithmic Trading : Predictive models to extract signals from market and alternative,Stefan Jansen,Packt Publishing,2020-7-31,8.5,$49.99
决战大数据（升级版） : 大数据的关键思考,车品觉,浙江人民出版社,2016-4,7.9,56.90元
模式分类 : 原书第2版,Richard O. Duda,机械工业出版社,2003-9,8.9,59.00元
为平凡人而战 : 破解美国大失业潮真相,[美]杨安泽,江苏人民出版社,2020-8,8.3,49.90元
大脑的未来 : 神经科学的愿景与隐忧,Steven Rose,科学出版社,2016-3,8.3,75.00
Statistical Rethinking : A Bayesian Course with Examples in R and Stan,Richard McElreath,CRC,2015-12,9.1,USD 89.95
图解语音识别,[日] 荒木雅弘,陈舒扬,杨文刚,6.5,2020-4
未来算法 : 下一个十年赢在计算思维,诸葛越,中信出版集团,2021-6,7.5,69.00元
灵魂机器的时代 : 当计算机超过人类智能时,（美）库兹韦尔,上海译文出版社,2002-06,7.6,21.00
Machine Learning in Action,Peter Harrington,Manning Publications,2012-4-19,8.3,GBP 29.99
机器学习实战 : 基于Scikit-Learn和TensorFlow,Aurélien Géron,机械工业出版社,2018-8,8.3,119.00
Python机器学习（原书第3版）,［美］塞巴斯蒂安·拉施卡（Sebastian Raschka）,机械工业出版社,2021-6,暂无评分,149.00元
大脑如何思维 : 智力演化的今昔,卡尔文,上海科技教育出版社,2007-9,7.1,22.00元
Tensorflow：实战Google深度学习框架,郑泽宇,电子工业出版社,2017-2-10,7.8,79
未来地图 : 技术、商业和我们的选择,[美]蒂姆·奥莱利,电子工业出版社,2018-6,8.1,98.00元
统计自然语言处理（第2版）,宗成庆,清华大学出版社,2013-8-1,8.6,85
玻璃笼子 : 计算机如何改变了我们,[美]尼古拉斯·卡尔,中信出版社,2015-11,6.6,49.00元
人类的未来，AI的未来,[日]山中伸弥,上海译文出版社,2021-10,7.8,58.00
机器崛起 : 遗失的控制论历史,托马斯·瑞德,机械工业出版社,2017-5-31,7.9,CNY 75.00
心智 : 认知科学导论,保罗·萨伽德,上海辞书出版社,2012-5,8.0,39.00元
Bounded Rationality : The Adaptive Toolbox,Gerd Gigerenzer,MIT Press,2002-7,9.1,GBP 28.79
Mining of Massive Datasets,Anand Rajaraman,Cambridge University Press,2011-12-30,8.7,USD 65.00
智能战略,曾鸣,中信出版社,2019-10-2,7.4,68.00
人脑之谜,格林菲尔德,上海世纪出版集团,2008-5-1,8.3,18.00元
集体智慧编程 : 构建智能Web 2.0应用,[美] Toby Segaran,电子工业出版社,2015-3,8.5,79.00元
可能与不可能的边界 : P/NP问题趣史,[美] Lance Fortnow,人民邮电出版社,2014-1,7.6,39.00
复杂的引擎,[美] 约翰·梅菲尔德,唐璐,湖南科学技术出版社,8.6,2018-2-1
